Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn
15.0,29.0,4,Laptop & Accessory,3,Single,2,0,7.0,143.32,0
7.0,25.0,4,Mobile,1,Married,2,0,7.0,129.29,0
27.0,13.0,3,Laptop & Accessory,1,Married,5,0,7.0,168.54,0
20.0,25.0,4,Fashion,3,Divorced,7,0,,230.27,0
30.0,15.0,4,Others,4,Single,8,0,8.0,322.17,0
7.0,16.0,4,Mobile Phone,2,Divorced,2,0,11.0,152.81,0
1.0,15.0,6,Mobile Phone,5,Divorced,3,0,2.0,149.51,0
1.0,11.0,4,Mobile Phone,5,Single,3,0,1.0,154.73,1
11.0,12.0,4,Mobile Phone,3,Married,2,0,4.0,137.02,0
17.0,7.0,3,Laptop & Accessory,1,Married,5,1,2.0,157.43,0
6.0,26.0,6,Fashion,3,Married,5,0,,221.1,0
16.0,20.0,2,Laptop & Accessory,5,Married,7,0,1.0,180.38,0
1.0,7.0,4,Mobile Phone,3,Divorced,5,0,3.0,154.09,1
1.0,7.0,5,Fashion,3,Divorced,7,0,,231.08999999999997,1
6.0,14.0,3,Laptop & Accessory,5,Married,3,0,2.0,163.92,0
10.0,8.0,4,Laptop & Accessory,3,Single,8,0,1.0,193.15,0
,21.0,5,Mobile,1,Married,1,1,3.0,121.68,0
8.0,22.0,4,Fashion,2,Divorced,3,0,6.0,204.78,1
19.0,27.0,4,Grocery,1,Married,2,1,11.0,259.96,0
0.0,18.0,1,Mobile,4,Single,2,0,0.0,127.16,1
1.0,33.0,5,Laptop & Accessory,5,Single,7,0,2.0,191.96,1
3.0,22.0,3,Laptop & Accessory,3,Married,9,0,2.0,153.01,0
30.0,9.0,1,Mobile,5,Married,5,1,0.0,126.69999999999999,0
5.0,14.0,3,Fashion,1,Single,2,0,7.0,189.98,0
9.0,12.0,4,Fashion,4,Single,2,0,14.0,205.95,0
18.0,26.0,3,Laptop & Accessory,3,Single,9,0,1.0,148.5,0
16.0,17.0,3,Fashion,3,Married,2,0,9.0,175.1,0
0.0,,1,Mobile,3,Single,4,1,3.0,124.32,1
7.0,6.0,4,Fashion,5,Married,10,0,6.0,204.82,1
1.0,17.0,5,Fashion,5,Married,11,0,,228.06,1
12.0,6.0,1,Fashion,1,Married,1,0,7.0,196.13,0
30.0,11.0,4,Fashion,4,Married,3,1,4.0,205.52,0
11.0,17.0,2,Fashion,1,Married,3,1,9.0,262.44,0
0.0,,4,Mobile,4,Divorced,6,0,1.0,125.46000000000001,1
0.0,,4,Mobile,1,Married,6,0,3.0,123.66999999999999,1
0.0,,3,Mobile,5,Married,4,0,0.0,123.22,0
24.0,31.0,4,Grocery,3,Married,5,1,6.0,264.73,0
,6.0,4,Mobile,5,Married,2,0,2.0,122.18,0
0.0,9.0,3,Laptop & Accessory,5,Divorced,2,1,3.0,141.94,0
1.0,7.0,4,Mobile Phone,1,Married,11,1,3.0,172.87,1
4.0,18.0,3,Mobile Phone,1,Married,9,1,2.0,139.29,0
18.0,7.0,4,Fashion,3,Married,4,0,4.0,207.48000000000002,0
15.0,7.0,2,Fashion,5,Married,3,0,8.0,208.92,0
17.0,21.0,4,Grocery,5,Married,8,0,1.0,296.59,0
,7.0,4,Mobile,3,Married,2,0,0.0,120.08000000000001,0
4.0,15.0,4,Fashion,3,Married,7,0,8.0,197.64,0
5.0,9.0,4,Mobile Phone,1,Married,2,1,3.0,151.95,0
11.0,17.0,2,Mobile Phone,1,Single,5,0,1.0,171.8,0
24.0,6.0,4,Fashion,5,Single,4,0,8.0,174.84,0
0.0,6.0,3,Laptop & Accessory,3,Divorced,2,0,7.0,152.96,0
3.0,6.0,3,Laptop & Accessory,1,Single,2,0,7.0,140.11,0
61.0,28.0,4,Grocery,1,Married,6,1,1.0,303.75,0
16.0,9.0,4,Fashion,1,Married,4,1,,226.24,0
25.0,10.0,3,Grocery,2,Divorced,3,0,4.0,265.55,0
9.0,22.0,4,Laptop & Accessory,5,Married,5,0,2.0,156.47,0
8.0,8.0,4,Laptop & Accessory,1,Married,11,0,2.0,179.84,0
8.0,33.0,5,Mobile Phone,3,Married,3,0,1.0,145.29,0
0.0,,4,Mobile,4,Married,2,0,3.0,123.68,0
17.0,19.0,5,Grocery,4,Married,3,0,10.0,268.36,0
8.0,26.0,5,Mobile Phone,1,Married,3,0,8.0,154.29,0
3.0,,3,Mobile,1,Single,1,0,7.0,125.63999999999999,0
0.0,8.0,3,Laptop & Accessory,3,Single,2,1,4.0,144.78,0
4.0,32.0,3,Mobile,3,Married,2,0,3.0,129.11,0
1.0,10.0,4,Mobile Phone,5,Married,7,0,3.0,165.31,1
1.0,16.0,4,Mobile Phone,1,Single,3,0,1.0,135.81,1
1.0,31.0,6,Mobile Phone,1,Single,3,1,1.0,148.4,1
0.0,16.0,3,Laptop & Accessory,2,Single,1,0,1.0,149.5,0
